wavelet_L0_mean,wavelet_L0_std,wavelet_L0_energy,wavelet_L0_entropy,wavelet_L1_mean,wavelet_L1_std,wavelet_L1_energy,wavelet_L1_entropy,wavelet_L2_mean,wavelet_L2_std,wavelet_L2_energy,wavelet_L2_entropy,wavelet_L3_mean,wavelet_L3_std,wavelet_L3_energy,wavelet_L3_entropy,wavelet_L4_mean,wavelet_L4_std,wavelet_L4_energy,wavelet_L4_entropy,wavelet_L5_mean,wavelet_L5_std,wavelet_L5_energy,wavelet_L5_entropy,stft_total_power,stft_avg_dominant_freq,stft_spectral_entropy,filename
7599.445714783159,20933.112066784954,374935747515.2207,6.138841078315234,249.67494614990255,15356.884581356162,178337558667.61517,5.1516672351038695,39.504076580848015,10369.465644262442,161936231749.32605,5.711898301040999,35.75744511242767,4727.716332998744,67191856442.4733,6.296263929264365,-2.27164332372693,1131.093731920221,7682666035.46938,6.870980551720914,-0.0012472843698227067,126.70524540868588,192698793.24521926,7.59315614787236,5031884565.082238,0.34515542328042326,2.796434917156623,KC.TARG..HHZ_2024-01-28T09_50_29.367_2024-01-28T09_54_29.367.mseed
7777.968465967222,13951.685934113302,192890628399.45688,6.309266809547118,246.18506761526146,9275.072035986948,65082201680.359436,5.4344207414299515,-162.59787042356825,5768.835604874984,50158688869.13062,6.039990445476245,-38.49046113528702,2462.030650222077,18225607773.323433,6.753566227044146,3.6176990278100374,735.547289698974,3248962633.2942224,7.385611466811415,0.0021207457564937806,156.78854486462478,295065521.6065841,7.967510173609026,2286574059.9428854,0.2170138888888889,2.5178200740126826,KC.TARG..HHZ_2024-01-26T10_15_04.640_2024-01-26T10_19_04.640.mseed
6675.685020318616,16692.68245277448,244347075977.51163,6.173427963621897,515.1125264318496,18825.13471307527,268116184637.52078,5.162423449636056,20.51993847067814,21045.57636500366,667032558638.2318,5.606567315289054,-100.96099255356431,11395.739669442934,390398465661.6126,6.229721730548411,0.06430421223700807,3603.7248265825624,77985929942.32463,6.811439400294224,-0.0008962935937589929,695.1582220777523,5800389179.538427,7.446452235590675,9838605051.997252,0.7254464285714286,3.3660262088654127,KC.TARG..HHZ_2024-02-18T08_57_33.029_2024-02-18T09_01_33.029.mseed
7538.168729628439,20134.9633066206,349453995777.4113,6.145873913048765,261.3612508126539,12579.52852714089,119684512837.44482,5.394841674269908,-137.56049387317168,7889.690156664907,93772797288.42053,6.070677957186976,-21.792891787759572,3734.506276490164,41924718250.18637,6.52173475609763,1.3356186599756152,911.0464183628949,4984194198.535827,7.13101408964124,-0.0039267550469235446,150.75620571492635,272797385.22449815,7.7548593763645375,4259976036.4007874,0.45676256613756616,2.4751451825575557,KC.TARG..HHZ_2024-02-26T12_27_00.181_2024-02-26T12_31_00.181.mseed
7705.293659236817,59181.76754519857,2692760989072.6387,5.711486647764437,-106.28244426921158,41312.0388677931,1290262063637.2373,5.233355739756489,604.8005627800313,32594.48345604516,1600525800043.6338,5.74637059630485,27.527560998990513,13617.246642357037,557403072639.508,6.364174645677385,-4.530397710457027,3515.2478869847155,74203714329.8808,6.977498798518406,-0.0005270964043430333,634.21006959071,4827875615.683483,7.487789736490408,37522677141.43508,0.6221064814814815,2.847076154295114,KC.TARG..HHZ_2024-02-03T08_34_44.734_2024-02-03T08_38_44.734.mseed
7419.445792276815,36421.017107697444,1044443229245.9353,5.909020427541182,-238.73491681183037,20637.616558008394,322031967936.2509,5.169618552698076,-60.85058522574324,8413.214516819784,106603537237.42267,5.753316532968381,-11.508517621606458,3102.6768742934437,28937969114.153057,6.366140269243205,-0.4385021664902036,700.5513792378753,2947088425.553618,6.922922718956793,0.0011597012884617193,81.43565518757896,79601086.54391347,7.64038420878502,9131744490.117456,0.28935185185185186,2.183469826579103,KC.TARG..HHZ_2024-02-15T03_39_51.038_2024-02-15T03_43_51.038.mseed
7342.330290028923,17919.12659841068,283503713576.1354,6.2074061044043845,-141.73931514274395,12919.081373977677,126193601707.17104,5.33303995645512,116.20042706579589,7598.758818927643,86978485019.98622,5.822586129801756,2.7811923864805648,2706.1764657130825,22014136788.62298,6.436716129254044,-1.879603375026554,649.0906438667083,2530039792.1691933,7.055055849229077,-0.0025323053653232485,98.43205621756476,116295502.9806577,7.778724996010702,3363778907.279175,0.28521825396825395,2.5712599199713497,KC.TARG..HHZ_2024-02-26T17_44_20.169_2024-02-26T17_48_20.169.mseed
7754.3037843901875,7276.166735008104,85482303129.40234,6.476145772970239,517.435777279084,8818.573885798032,58994448783.14288,5.504153317659385,-142.24691562844876,6261.449612097216,59074334057.336296,6.099267720923269,11.692850057174947,2800.3783737084323,23573820810.58109,6.670387411010432,-1.1148658777429634,812.0777840974172,3960126779.954733,7.26077916387654,-0.010039666224171236,141.28629981204574,239601708.8403362,7.966252474809497,1548465352.3572679,0.3017526455026455,2.836256956579918,KC.TARG..HHZ_2024-02-11T03_01_53.568_2024-02-11T03_05_53.568.mseed
8038.029653049594,15342.216820313484,226795114474.5998,6.286019925437209,-1551.9903689354965,15770.077359253384,189834634600.7112,5.312459964344263,-91.54647382841864,9708.70056369371,141966474572.8595,5.862719724963889,-25.86831905675009,3571.100011067608,38336793923.687546,6.461976700297046,-0.655401112479512,824.2570107434195,4079797296.1083264,7.0096666095365565,0.0017075838705789676,124.21738510267716,185205795.05224574,7.658311537344691,3926253923.2251797,0.3844246031746032,2.7702986322816487,KC.TARG..HHZ_2024-02-03T18_00_47.088_2024-02-03T18_04_47.088.mseed
7506.751556070448,9299.785206980358,107985016808.32582,6.4302445368972965,196.14158036181306,11351.962040502012,97452568348.54037,5.12167833513052,100.19929477854686,9835.37618302461,145697464827.7845,5.770337185440212,-40.45136747654859,4457.027735228854,59719398032.464294,6.345857950362954,-10.910638855849962,1044.1038712808797,6547082976.0640955,6.996346994905208,0.001675632259137332,210.67432019170337,532737181.3001022,7.553579813410623,2711705034.8656673,0.46916335978835977,3.0401010605790066,KC.TARG..HHZ_2024-02-27T14_16_13.857_2024-02-27T14_20_13.857.mseed
8013.8057975901675,28374.996789882087,657237313797.6052,6.042462148217296,139.08621781013406,28469.81873581005,612775742412.3545,5.080532848580323,-308.7660771162704,21038.596356943715,666733116980.1396,5.731376674407763,-153.5946087465735,10749.944979593294,347448234554.56604,6.26310780863501,5.622216116969552,3103.7470604633586,57847830935.01729,6.834979164114948,-0.0034738381132976607,566.7875853192369,3855941747.109597,7.454131871501981,13948537853.628351,0.4774305555555556,3.1087552081480028,KC.TARG..HHZ_2024-02-26T01_27_05.057_2024-02-26T01_31_05.057.mseed
7563.980246925655,17242.925265025235,268026395266.57202,6.213499237525189,321.50349682218354,13782.085563034643,143677230705.74927,5.166645423502588,-38.187786562141895,10853.785817800883,177416024077.92157,5.598801322532847,-14.410470423702487,3732.629104705505,41881779451.02707,6.305472526972135,0.5819333159759831,715.2776276979093,3072292652.105857,7.019795287313963,-0.0034585778609201407,95.78200216209324,110117825.97754236,7.736052841270867,4055575748.44973,0.3368882275132275,2.8097536905423612,KC.TARG..HHZ_2024-01-30T03_50_51.903_2024-01-30T03_54_51.903.mseed
7709.1379677321265,11031.958309204312,136937993730.21259,6.365412090346746,255.53505656345052,17217.834199407855,224168449188.6743,5.2323378797633895,368.5897984895386,12067.338916864324,219509329622.87238,5.933545484809619,22.741100893528138,6767.0052262501795,137653387930.6399,6.467765406618801,-9.895361853874876,2233.7163735000336,29962468466.347305,7.011791422285218,-0.0011128341263944366,460.4257712265146,2544538665.401662,7.584969933719868,4715992900.541592,0.7151124338624338,3.281662196136767,KC.TARG..HHZ_2024-01-26T12_03_55.026_2024-01-26T12_07_55.026.mseed
7678.398986344833,1569.4824880286328,46434341222.93981,6.606562470065615,71.3506522344516,1354.8196064441763,1391514073.6743548,5.630228185690626,4.870975883108627,1708.404899637999,4395518567.434843,6.102995920737362,-22.50380097456504,1274.813636186142,4886722621.561694,6.568061128067752,3.920816861153822,495.0393402861003,1471701324.0207157,7.096200339088405,-0.0015218092528098352,84.24841155972607,85194831.61639261,7.895087542940366,518826827.4250573,0.0,1.3710986604281974,KC.TARG..HHZ_2024-01-29T04_20_05.371_2024-01-29T04_24_05.371.mseed
5655.593964478233,3324026.3702368424,8353182571604393.0,5.159573020059966,-1491.0173207158855,179977.46387864216,24489947641449.996,5.357802846323926,-829.6585854894809,65986.16478940999,6558422589137.372,5.916455138614614,73.84971221914194,19599.42846674084,1154734008308.6755,6.465969775960634,-5.963315175212802,3460.361417559221,71904690891.06836,7.038969048798931,-0.001979550738103826,374.83092194121156,1686400135.226749,7.633547253239879,70338150968627.29,0.12194113756613757,0.8726093039837148,KC.TARG..HHZ_2024-01-29T22_25_57.797_2024-01-29T22_29_57.797.mseed
