mean,std,max,min,label,filename
-3.5773458269735175e-14,5577.377889811543,71872.05195833334,-56221.94804166667,1,KC.TARG..HHZ_2024-01-28T09_50_29.367_2024-01-28T09_54_29.367.mseed
6.972792713592449e-14,3440.879229607248,29163.819125,-32356.180875,1,KC.TARG..HHZ_2024-01-26T10_15_04.640_2024-01-26T10_19_04.640.mseed
1.5158245029548804e-14,8215.788004740856,127580.57295833333,-109236.42704166667,1,KC.TARG..HHZ_2024-02-18T08_57_33.029_2024-02-18T09_01_33.029.mseed
-3.6682952971508105e-14,4861.107529060761,32181.97433333333,-37575.02566666667,1,KC.TARG..HHZ_2024-02-26T12_27_00.181_2024-02-26T12_31_00.181.mseed
1.6977234433094662e-14,16040.294207810304,215568.38075,-170605.61925,1,KC.TARG..HHZ_2024-02-03T08_34_44.734_2024-02-03T08_38_44.734.mseed
2.0615213240186375e-14,7808.663955843097,72845.15958333333,-82209.84041666667,1,KC.TARG..HHZ_2024-02-15T03_39_51.038_2024-02-15T03_43_51.038.mseed
-5.790449601287643e-14,4473.963208275456,42632.754291666664,-54560.245708333336,1,KC.TARG..HHZ_2024-02-26T17_44_20.169_2024-02-26T17_48_20.169.mseed
-6.760577283178767e-14,2782.3333973683248,36486.638041666665,-29662.361958333335,1,KC.TARG..HHZ_2024-02-11T03_01_53.568_2024-02-11T03_05_53.568.mseed
-2.3040532444914184e-13,4797.001139599935,43897.9105,-35445.0895,1,KC.TARG..HHZ_2024-02-03T18_00_47.088_2024-02-03T18_04_47.088.mseed
-1.4430649268130462e-13,3954.588916220398,45237.50633333333,-39983.49366666667,1,KC.TARG..HHZ_2024-02-27T14_16_13.857_2024-02-27T14_20_13.857.mseed
1.6249638671676318e-13,9783.709925178042,145769.584,-150618.416,1,KC.TARG..HHZ_2024-02-26T01_27_05.057_2024-02-26T01_31_05.057.mseed
5.153803310046593e-14,4961.881031230465,57271.22720833333,-62434.77279166667,1,KC.TARG..HHZ_2024-01-30T03_50_51.903_2024-01-30T03_54_51.903.mseed
-6.427095892528693e-14,5422.863390345928,71161.01020833333,-70034.98979166667,1,KC.TARG..HHZ_2024-01-26T12_03_55.026_2024-01-26T12_07_55.026.mseed
2.6678511252005894e-14,766.2016252441223,9316.029125000001,-8427.970874999999,1,KC.TARG..HHZ_2024-01-29T04_20_05.371_2024-01-29T04_24_05.371.mseed
